latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
26.64161,79.48335,306.1,0.36,0.58,2017-10-07,2105,N,VIIRS,n,1,295.7,1.8
26.63988,79.47852,323.2,0.39,0.36,2017-10-09,2027,N,VIIRS,n,1,296.2,2.5
26.6441,79.47765,320.2,0.49,0.4,2017-10-10,2008,N,VIIRS,n,1,297.3,2.1
26.64039,79.47707,328.9,0.49,0.4,2017-10-10,2008,N,VIIRS,n,1,297.4,3.5
26.64388,79.47857,311.6,0.42,0.37,2017-10-14,2034,N,VIIRS,n,1,293.5,1
26.64316,79.48271,311.8,0.42,0.37,2017-10-14,2034,N,VIIRS,n,1,295.4,1
25.91583,79.24107,335,0.42,0.37,2017-10-10,0742,N,VIIRS,l,1,309.9,3
28.53354,80.09199,335.8,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,304.4,2.3
28.50941,79.91479,331.3,0.39,0.36,2017-10-15,0749,N,VIIRS,l,1,305.6,3.3
27.19729,80.25549,339.9,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,313.6,2.9
27.20506,80.03444,338.9,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,312.7,3.2
28.34799,80.2279,340.7,0.49,0.48,2017-10-03,0814,N,VIIRS,n,1,298.1,5.3
28.28034,80.13904,333.6,0.58,0.7,2017-10-07,0839,N,VIIRS,n,1,296.6,5.5
28.29116,80.19188,334.7,0.49,0.4,2017-10-09,0802,N,VIIRS,n,1,298.3,3.2
28.34505,80.1683,339.1,0.49,0.4,2017-10-09,0802,N,VIIRS,n,1,301.4,5.3
28.24259,80.1546,333.2,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,301.8,5.1
28.2882,80.2062,333.2,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,301.2,6
28.29813,80.20422,334.5,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,301.2,2
28.28893,80.14535,337,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,301.4,4.3
28.32283,80.12457,330.6,0.35,0.57,2017-10-12,0705,N,VIIRS,n,1,298.4,1.3
28.27662,80.18405,334.3,0.38,0.58,2017-10-13,0827,N,VIIRS,n,1,298.7,3.7
28.27999,80.24107,339,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,304.4,3.8
28.32446,80.22501,336.3,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,304.8,2.2
28.76384,79.86038,344.4,0.47,0.48,2017-10-03,0814,N,VIIRS,n,1,298,8.3
28.74529,79.90434,330.9,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,301.7,1.5
28.80234,79.86459,336.1,0.38,0.43,2017-10-11,0724,N,VIIRS,n,1,299.2,3
28.79065,79.85216,345.9,0.36,0.57,2017-10-12,0705,N,VIIRS,n,1,298.6,3.2
28.76618,79.93085,340.7,0.71,0.75,2017-10-12,0846,N,VIIRS,n,1,295.5,11.9
28.74986,79.86628,336.1,0.36,0.58,2017-10-13,0827,N,VIIRS,n,1,299.3,2.7
28.71358,79.93732,346.3,0.38,0.44,2017-10-14,0808,N,VIIRS,n,1,308.3,10.3
28.71412,79.9369,346.4,0.38,0.44,2017-10-14,0808,N,VIIRS,n,1,308,9.5
28.73185,79.87518,334.7,0.57,0.43,2017-10-14,0808,N,VIIRS,l,1,306.9,9.5
